Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
充足,chōngzú,"đầy đủ, dồi dào",,
先,xiān,"tiên, trước tiên",,
先前,xiānqián,"trước kia, trước",,
先生,xiānshēng,"tiên sinh, ông",,
先进,xiānjìn,tiên tiến,,
光,guāng,ánh sáng,quang,
光临,guānglín,"quang lâm, đến viếng",,
光亮,guāngliàng,ánh sáng,,
光彩,guāngcǎi,"màu sắc ánh sáng, hào quang",,
光明,guāngmíng,quang minh,,
光滑,guānghuá,"trơn truột, nhẵn bóng",,
光盘,guāngpán,"quang đĩa, đĩa quang",,
光看,guāng kàn,chỉ nhìn,,
光芒,guāngmáng,"hào quang, tia sáng",,
光荣,guāngróng,quang vinh,,
光辉,guānghuī,"chói lọi, chói chang",,
克,kè,khắc,,
克服,kèfú,khắc phục,,
免得,miǎndé,đỡ phải,,
免疫,miǎnyì,miễn dịch,,
免费,miǎnfèi,miễn phí,,
兑换,duìhuàn,"đổi, hối đoái",,
兑现,duìxiàn,đổi tiền mặt,,
兔子,tùzǐ,con thỏ,,
党,dǎng,Đảng,,
兜,dōu,túi,,
兢兢业业,jīngjīngyèyè,"cẩn trọng, cẩn thận",,
入,rù,"đi vào, gia nhập",,
入侵,rùqīn,"xâm phạm, xâm lược",,
入口,rùkǒu,"cổng vào, cửa vô",,
入学,rùxué,nhập học,,
全,quán,toàn,,
全世界,quán shìjiè,toàn thế giới,,
全力以赴,quánlì yǐ fù,(ý nghĩa là chỉ dốc hết toàn bộ tinh thần sức lực bỏ vào việc/chuyện nào đó để làm),,
全国,quánguó,toàn quốc,,
全局,quánjú,toàn cục,,
全部,quánbù,toàn bộ,,
全面,quánmiàn,toàn diện,,
八,bā,"8, số tám",,
公主,gōngzhǔ,công chúa,,
公交车,gōngjiāo chē,xe buýt,,
公元,gōngyuán,công nguyên,,
公共汽车,gōnggòng qìchē,"xe bus, xe công cộng",,
公关,gōngguān,công quan,,
公务,gōngwù,công vụ,,
公司,gōngsī,công ty,,
公告,gōnggào,công cáo,,
公园,gōngyuán,công viên,,
公婆,gōngpó,bố chồng,,
公安局,gōng'ān jú,cục công an,,
公寓,gōngyù,chung cư,,
公布,gōngbù,công bố,,
公平,gōngpíng,công bằng,,
公开,gōngkāi,công khai,,
公式,gōngshì,công thức,,
公斤,gōngjīn,"kg, ký lô",công cân,
公正,gōngzhèng,công chính,,
公民,gōngmín,công dân,,
公然,gōngrán,"ngang nhiên, thẳng thắng",,
公认,gōngrèn,công nhận,,
公证,gōngzhèng,công chứng,,
公道,gōngdào,công đạo,,
公里,gōnglǐ,"km, kílo met",công lý,
六,liù,số 6,,
共同,gòngtóng,"cộng đồng, chung",cộng đồng,
共和国,gònghéguó,nước cộng hòa,,
共计,gòngjì,tổng cộng,,
共鸣,gòngmíng,cộng hưởng,,
关,guān,"đóng lại, tắt, QUAN",,
关于,guānyú,về …,,
关心,guānxīn,quan tâm,,
关怀,guānhuái,"quan hoài, quan tâm đoái hoài",,
关注,guānzhù,quan tâm chú ý,quan chú,
关照,guānzhào,"chăm sóc, quan tâm",,
关系,guānxì,quan hệ,,
关键,guānjiàn,mấu chốt,,
关闭,guānbì,"đóng, tắt, đóng cửa (nhà máy, cửa hiệu, trường học)",,
兴奋,xīngfèn,"hưng phấn, phấn khởi, hăng hái",,
兴旺,xīngwàng,"thịnh vượng, hưng thịnh",,
兴致勃勃,xìngzhì bóbó,"sự dũng cảm, sự gan dạ",,
兴趣,xìngqù,hứng thú,,
兴隆,xīnglóng,"hưng thịnh, thịnh vượng",,
兴高采烈,xìnggāocǎiliè,"cao hứng, hết sức phấn khởi",,
其中,qízhōng,trong đó,,
其他,qítā,khác,,
其余,qíyú,"còn lại, ngoài ra",,
其实,qíshí,kỳ thực,,
其次,qícì,"kế tiếp, tiếp theo",,
其间,qíjiān,"ở giữa, trong thời gian đó",,
具体,jùtǐ,cụ thể,,
具备,jùbèi,"có đủ, có sẵn",,
具有,jùyǒu,"có, sẵn có",,
典型,diǎnxíng,điển hình,,
典礼,diǎnlǐ,"lễ lớn, lễ nghi",,
养,yǎng,"nuôi, nuôi dưỡng",,
养成,yǎng chéng,nuôi dưỡng,,
兼职,jiānzhí,kiêm chức,,
内,nèi,nội,,
内在,nèizài,nội tại,,
内容,nèiróng,nội dung,,
内幕,nèimù,nội tình,,
内涵,nèihán,nội hàm,,
内科,nèikē,nội khoa,,
册,cè,"sổ, quyển, tập",,
再,zài,"tái, lại; nữa",,
再三,zàisān,"nhiều lần, hết lần này đến lần khác",,
再接再厉,zàijiēzàilì,không ngừng cố gắng,,
再见,zàijiàn,"tạm biệt, tái kiến",,
再说,zàishuō,"hẵn nói, lại nói",,
冒充,màochōng,"giả mạo, giả làm",,
冒险,màoxiǎn,mạo hiểm,,
写,xiě,viết,,
写作,xiězuò,sáng tác,,
军事,jūnshì,quân sự,,
军队,jūnduì,quân đội,,
农业,nóngyè,nông nghiệp,,
农历,nónglì,"nông lịch, âm lịch",,
农村,nóngcūn,nông thôn,,
农民,nóngmín,nông dân,,
冠军,guànjūn,quán quân,,
冤枉,yuānwǎng,"bị oan, chịu oan",,
冬,dōng,"đông, mùa đông",đông,
冬季,dōngjì,mùa Đông,,
冰冷,bīnglěng,"lạnh lẽo, băng lạnh",,
冰灯,bīngdēng,băng đăng,,
冰箱,bīngxiāng,tủ lạnh,,
冰雹,bīngbáo,mưa đá,,
冲,chōng,"xung, ",,
冲击,chōngjí,"xung kích, chấn động",,
冲动,chōngdòng,"xung động, kích thích",,
冲突,chōng tú,xung đột,,
决定,juédìng,quyết định,quyết định,
决心,juéxīn,quyết tâm,quyết tâm,
决策,juécè,quyết sách,quyết sách,
决赛,juésài,chung kết,quyết trại,
况且,kuàngqiě,"hơn nữa, vả lại",,
冷,lěng,lạnh,,
冷冻,lěngdòng,"lạnh đông, đông lạnh",,
冷却,lěngquè,làm lạnh,,
冷淡,lěngdàn,lạnh nhạt,,
冷酷,lěngkù,"cay nghiệt, lạnh lùng hà khắc",,
冷静,lěngjìng,"bình tĩnh, yên tĩnh, vắng lặng",,
冻,dòng,"đông, đông lạnh",,
冻结,dòngjié,đông kết,,
凄凉,qīliáng,"lạnh lẽo, thê lương",,
准则,zhǔnzé,"chuẩn tắc, nguyên tắc",,
准备,zhǔnbèi,chuẩn bị,,
准时,zhǔnshí,"đúng giờ, chuẩn thời gian",,
准确,zhǔnquè,chuẩn xác,,
凉,liáng,"mát, nguội",,
凉快,liángkuai,mát mẻ,,
凌晨,língchén,hừng đông,,
减,jiǎn,"giảm, trừ",,
减少,jiǎnshǎo,"giảm thiểu, giảm ít",,
减肥,jiǎnféi,giảm béo,,
减轻,jiǎnqīng,giảm nhẹ,,
凑合,còuhé,"tập hợp, gom góp, góp nhặt",,
凝固,nínggù,"cứng lại, đông đặc",,
凝聚,níngjù,ngưng tụ,,
凝视,níngshì,nhìn chăm chăm,,
几,jǐ,"mấy, vài",,
几乎,jīhū,gần như,cơ hồ,
凡是,fánshì,phàm là,,
凭,píng,"dựa, dựa vào",,
凶恶,xiōng'è,hung ác,,
凶手,xiōngshǒu,hungthủ,,
凶猛,xiōngměng,Hung dữ Mạnh mẽ,,
凹凸,āotú,"lồi lõm, gồ ghề",,
出,chū,"xuất, đi ra",,
出卖,chūmài,"xuất bán, bán đứng",,
出去,chūqù,đi ra,,
出发,chūfā,xuất phát,,
出口,chūkǒu,xuất khẩu,,
出差,chūchāi,đi công tác,,
出席,chūxí,"dự họp, họp mặt",,
出息,chūxī,"triển vọng, khá lên",,
出来,chūlái,"1. ra đây, đi ra; 2. ra lại, ra ",,
出汗,chū hàn,ra mồ hôi,,
出洋相,chūyángxiàng,"xấu mặt, làm trò cười cho thiên hạ",,
出版,chūbǎn,xuất bản,,
出现,chūxiàn,xuất hiện,,
出生,chūshēng,"xuất sinh, xuất thân",,
出神,chūshén,xuất thần,,
出租车,chūzū chē,xe taxi,,
出色,chūsè,xuất sắc,,
出路,chūlù,"lối ra, lối thoát",,
出身,chūshēn,xuất thân,,
出门,chūmén,"ra ngoài, ra cửa",,
刀,dāo,dao,,
刀子,dāozi,"dao, con dao",,
分,fēn,"điểm, nơi, giờ",,
分不开,fēn bù kāi,không thế tách rời,,
分享,fēnxiǎng,"chia sẻ, chia nhau",,
分别,fēnbié,phân biệt,,
分寸,fēncùn,đúng mực,,
分工,fēngōng,phân công,,
分布,fēnbù,phân bố,,
分手,fēnshǒu,chia tay,,
分担,fēndān,chia sẻ gánh vác,,
分散,fēnsàn,phân chia,,
分数,fēnshù,điểm số,,
分明,fēnmíng,"phân minh, rõ ràng",,
分析,fēnxī,phân tích,,
分歧,fēnqí,"phân kỳ, chia rẽ",,
分泌,fēnmì,"tiết ra, bài tiết",,
分红,fēnhóng,"chia hoa hồng, chia lợi nhuận",,
分裂,fēnliè,"phân tách, phân liệt",,
分解,fēnjiě,"phân chia, phân giải",,
分辨,fēnbiàn,phân biệt,,
分配,fēnpèi,phân phối,,
分量,fènliàng,"trọng lượng, phân lượng",,
分钟,fēnzhōng,phút,,
切,qiè,cắt; cấp thiết,,
切割,qiēgē,"cắt, gọt",,
切实,qièshí,thiết thực,,
切忌,qièjì,"phải tránh, phải ngăn chặn",,
刊物,kānwù,"sách báo, báo chí",,
刊登,kāndēng,"xuất bản, ban bố",,
刑事,xíngshì,hình sự,,
划分,huàfēn,phân chia,,
划船,huáchuán,chuyền thuyền,,
列,liè,"liệt (kê), liệt ra",,
列举,lièjǔ,"liệt kê, nêu ra",,
刘,liú,Lưu (họ tên),,
则,zé,"tắc, quy tắc",,
刚,gāng,"vừa, vừa mới",,
刚刚,gānggāng,"vừa mới, vừa vặn",,
刚才,gāngcái,"vừa nãy, vừa mới",,
创业,chuàngyè,"sáng nghiệp, khởi nghiệp",,
创作,chuàngzuò,sáng tác,,
创新,chuàngxīn,sáng tạo,,
创立,chuànglì,sáng lập,,
创造,chuàngzào,sáng tạo,,
初步,chūbù,"bước đầu, sơ bộ",,
初级,chūjí,sơ cấp,,
删除,shānchú,"loại trừ, loại bỏ",,
判决,pànjué,phán quyết,,
判断,pànduàn,phán đoán,,
利于,lìyú,lợi đối với,,
利害,lìhài,lợi hại,,
利息,lìxí,lợi suất,,
利润,lìrùn,lợi nhuận,,
利率,lìlǜ,tỉ lệ lãi,,
利用,lìyòng,lợi dụng,,
利益,lìyì,lợi ích,,
别,bié,"đừng, Biệt, khác",,
别人,biérén,người khác,,
别墅,biéshù,biệt thự,,
别扭,bièniu,"khó chịu, kỳ quặc, chưa quen",,
别的,bié de,"khác, … khác",,
别致,biézhì,"độc đáo, mới mẻ",,
刮风,guā fēng,"gió, gió thổi",,
到,dào,đến,,
到处,dàochù,"khắp nơi, mọi nơi",,
到底,dàodǐ,rốt cuộc,,
到达,dàodá,"đến, tới",,
制作,zhìzuò,chế tác,,
制定,zhìdìng,chế định,,
制度,zhìdù,chế độ,,
制服,zhìfú,"chế ngự, bắt phục tùng",,
制止,zhìzhǐ,"ngăn cấm, chặn đứng",,
制约,zhìyuē,"chế ước, hạn chế, quy định",,
制裁,zhìcái,chế tài,,
制订,zhìdìng,"định ra, quy định",,
制造,zhìzào,chế tạo,,
刷牙,shuāyá,đánh răng,,
刹车,shāchē,"phanh lại, thắng lại",,
刹那,chànà,chớp mắt,,
刺,cì,"đâm, chọc",,
刺激,cìjī,kích thích,,
刻,kè,khắc (1/4),,
刻不容缓,kèbùrónghuǎn,"cấp bách, vô cùng khẩn cấp",,
刻苦,kèkǔ,khắc khổ,,
削弱,xuēruò,"suy yếu, yếu đi",,
前提,qiántí,tiền đề,,
前景,qiánjǐng,"tiền cảnh, tương tai, tiền đồ",,
前者,qiánzhě,tiền bối,,
前途,qiántú,tiền đồ,,
前面,qiánmiàn,"mặt trước, phía trước, tiền diện",,
剑,jiàn,"kiếm, gươm",,
剥削,bōxuè,bóc lột,,
剧本,jùběn,kịch bản,,
剧烈,jùliè,kịch liệt,,
剩,shèng,"còn lại, thừa lại",,
剩下,shèng xià,còn lại,,
剪刀,jiǎndāo,cây kéo,,
剪彩,jiǎncǎi,cắt băng,,
副,fù,"phó, thứ",,
副作用,fùzuòyòng,tác dụng phụ,,
割,gē,"cắt, gặt",,
劈,pī,"bổ, chẻ",,
力,lì,"sức, Lực",,
力争,lìzhēng,cố gắng,,
力图,lìtú,"mưu cầu, cố hòng",,
力所能及,lìsuǒnéngjí,"khả năng cho phép, khả năng làm được",,
力气,lìqì,sức lực,,
力量,lìliàng,lực lượng,,
劝,quàn,"khuyên, khuyên giải",,
劝阻,quànzǔ,"khuyên can, khuyên ngăn",,
办,bàn,"làm, xử lý",,
办公,bàngōng,làm việc,,
办公室,bàngōngshì,"phòng làm việc, văn phòng",,
办法,bànfǎ,"biện pháp, phương pháp",,
办理,bànlǐ,làm,,
功劳,gōngláo,công lao,,
功夫,gōngfū,công phu,,
功效,gōngxiào,công hiệu,,
功能,gōngnéng,"công năng, tác dụng, chức năng",,
功课,gōngkè,"bài học, môn học",,
加,jiā,"gia, cộng",,
加剧,jiājù,"nguy kịch hơn, trầm trọng hơn",,
加工,jiāgōng,gia công,,
加快,jiākuài,"tăng nhanh, gia nhanh",,
加收,jiā shōu,thu thêm,,
加油站,jiāyóu zhàn,trạm đổ xăng,,
加班,jiābān,tăng ca,,
务实,wùshí,"phải cụ thể, phải thiết thực",,
务必,wùbì,nhất thiết phải,,
动作,dòngzuò,động tác,,
动力,dònglì,động lực,,
动员,dòngyuán,"động viên, cổ vũ",,
动态,dòngtài,động thái,,
动感,dònggǎn,"động cảm, sống động như thật",,
动手,dòngshǒu,"động thủ, bắt tay vào làm",,
动机,dòngjī,động cơ,,
动物,dòngwù,động vật,,
动画片,dònghuà piàn,phim hoạt hình,,
动脉,dòngmài,động mạch,,
动荡,dòngdàng,"bập bềnh, xao động",,
动身,dòngshēn,"khởi hành, xuất phát",,
动静,dòngjìng,động tĩnh,,
助手,zhùshǒu,trợ thủ,,
助理,zhùlǐ,trợ lý,,
努力,nǔlì,nỗ lực,,
劲头,jìntóu,"sức mạnh, sức lực",,
劳动,láodòng,lao động,,
劳驾,láojià,làm phiền,,
势力,shìlì,thế lực,,
势必,shìbì,"tất phải, thế tất",,
勇于,yǒngyú,"dũng cảm, bạo dạn",,
勇敢,yǒnggǎn,dũng cảm,,
勇气,yǒngqì,dũng khí,,
勉励,miǎnlì,"khuyến khích, động viên",,
勉强,miǎnqiáng,miễn cưỡng,,
勘探,kāntàn,"khảo sát, trinh sát",,
勤俭,qínjiǎn,"cần cù tiết kiệm, cần kiệm",,
勤劳,qínláo,"cần lao, cần cù",,
勤奋,qínfèn,"siêng năng, cần cù",,
勤恳,qínkěn,cần cù vè thật thà,,
勺子,sháozi,"cái muỗng, cái thìa",,
勾结,gōujié,cấu kết,,
勿,wù,"chớ, đừng, không nên",,
包,bāo,bao; gói; cặp; túi,,
包含,bāohán,"bao hàm, chứa; có",,
包围,bāowéi,bao vây,,
包子,bāozi,"bao tử, bánh bao",,
包庇,bāobì,"bao che, che đậy",,
包括,bāokuò,bao gồm,,
包袱,bāofú,"vải gói đồ, bọc gói",,
包装,bāozhuāng,bao bì,,
包裹,bāoguǒ,"bao gói, bưu phẩm",,
匆忙,cōngmáng,vội vã,,
化妆,huàzhuāng,hóa trang,,
化学,huàxué,hóa học,,
化石,huàshí,hóa thạch,,
化肥,huàféi,phân hóa học,,
化验,huàyàn,hóa nghiệm,,
北,běi,Bắc (phía Bắc),,
北京,běijīng,Bắc Kinh,,
北方,běifāng,"Bắc phương, phương Bắc",,
北朝,běicháo,Bắc triều,,
北极,běijí,bắc cực,,
匪徒,fěitú,"cường đạo, đạo tặc",,
匹,pǐ,con lừa,,
区分,qūfēn,"phân chia, phân biệt",,
区别,qūbié,khác biệt,,
区域,qūyù,"khu vực, vùng",,
医生,yīshēng,bác sĩ,,
医院,yīyuàn,"bệnh viện, y viện",,
十,shí,số 10,,
十全十美,shíquánshíměi,thập toàn thập mỹ,,
十分,shífēn,"10 phần, rất, hết sức, vô cùng",,
十足,shízú,"thuần chất, đầy đủ",,
千,qiān,"1000, ngàn, Thiên",,
千万,qiān wàn,"10 triệu, dù sao cũng",,
千方百计,qiānfāngbǎijì,trăm phương ngàn kế,,
升,shēng,"lên cao, lên chức",,
升职,shēng zhí,thăng chức,,
半,bàn,"một nữa, rưỡi",,
半价,bànjià,nửa giá,,
半途而废,bàntú'érfèi,nửa chừng bỏ dở,,
华丽,huálì,hoa lệ,,
华侨,huáqiáo,hao kiều,,
华裔,huáyì,người gốc Hoa,,
协会,xiéhuì,hiệp hội,,
协助,xiézhù,"giúp đỡ, trợ giúp",,
协商,xiéshāng,hiệp thương,,
协议,xiéyì,"hiệp thương, thỏa thuận",,
协调,xiétiáo,"nhịp nhàng, hài hòa",,
卑鄙,bēibǐ,"đê tiện, hèn hạ",,
卓越,zhuóyuè,"trác việc, lỗi lạc",,
单位,dānwèi,đơn vị,,
单元,dānyuán,"đơn nguyên, nguyên đơn",,
单独,dāndú,đơn độc,,
单纯,dānchún,đơn thuần,,
单调,dāndiào,đơn điệu,,
卖,mài,bán,,
南,nán,nam,,
南京,nánjīng,Nam Kinh (thành phố),,
南方,nánfāng,phương Nam,,
博士,bóshì,"tiến sĩ, bác sĩ",,
博大精深,bódàjīngshēn,bác đại tinh thâm,,
博物院,bówùyuàn,viện bảo tàng,,
博物馆,bówùguǎn,viện bảo tàng,,
博览会,bólǎnhuì,"hội chợ, triển lãm",,
占,zhàn,chiếm,,
占据,zhànjù,"chiếm, chiếm giữ",,
占有,zhànyǒu,chiếm hữu,,
占线,zhànxiàn,"chiếm tuyến, đường dây bận",,
占领,zhànlǐng,"chiếm lĩnh, chiếm đóng",,
卡车,kǎchē,xe tải,,
卡通,kǎtōng,"phim hoạt họa, cartoon",,
卧室,wòshì,"phòng ngủ, buồng ngủ",,
卫星,wèixīng,vệ tinh,,
卫生间,wèishēngjiān,phòng vệ sinh,,
印刷,yìnshuā,in ấn,,
印象,yìnxiàng,ấn tượng,,
危害,wéihài,nguy hại,,
危机,wéijī,nguy cơ,,
危险,wéixiǎn,"nguy hiểm, mối nguy",,
即,jí,"cho dù,",,
即使,jíshǐ,cho dù,,
即便,jíbiàn,"cho dù, dù",,
即将,jíjiāng,"gần, sắp , sẽ",,
却,què,"lại, mà lại",,
卷,juǎn,"cuốn, cuộn, xoắn",,
历代,lìdài,"các thời kỳ, qua nhiều thế hệ",,
历史,lìshǐ,lịch sử,,
历来,lìlái,"xưa nay, vốn",,
厉害,lìhài,lợi hại,,
压制,yāzhì,áp chế,,
压力,yālì,áp lực,,
压力 ,yā lì ,áp lực,,
压岁钱,yāsuìqián,"tiền mừng tuổi, tiền lì xì",,
压抑,yāyì,"kiềm chế, kiềm nén",,
压榨,yāzhà,"ép, bóc lột",,
压缩,yāsuō,nén,,
压迫,yāpò,áp bức,,
厌恶,yànwù,chán ghét,,
厕所,cèsuǒ,nhà vệ sinh,,
厘米,límǐ,cm,,
厚,hòu,dày,,
原先,yuánxiān,trước kia,,
原则,yuánzé,nguyên tắc,,
原告,yuángào,nguyên cáo,,
原因,yuányīn,nguyên nhân,,
原始,yuánshǐ,"nguyên thủy, ban sơ",,
原料,yuánliào,nguyên liệu,,
原有,yuán yǒu,vốn có ban đầu,,
原本,yuánběn,"nguyên bản, nguyên là",,
原来,yuánlái,"thì ra, vốn dĩ, ban đầu",,
原理,yuánlǐ,nguyên lý,,
原谅,yuánliàng,lượng thứ,nguyên lượng,
厨房,chúfáng,nhà bếp,,
去,qù,đi,,
去世,qùshì,qua đời,,
去做,qù zuò,đi làm,,
去年,qùnián,năm trước,,
去找,qù zhǎo,đi tìm,,
去拿,qù ná,đi lấy,,
县,xiàn,huyện,,
参与,cānyù,tham dự,,
参加,cānjiā,tham gia,,
参照,cānzhào,tham chiếu,,
参考,cānkǎo,tham khảo,,
参观,cānguān,tham quan,,
参谋,cānmóu,tham mưu,,
又,yòu,1. lại; 2. vừa,,
叉子,chāzi,cái nĩa,,
及早,jízǎo,"nhanh chóng, sớm",,
及时,jíshí,"đúng lúc, kịp thời, ngay",,
及格,jígé,"đạt tiêu chuẩn, cập cách",,
友好,yǒuhǎo,hảo hữu,,
友情,yǒu qíng,"hữu tình, tình bạn bè",,
友谊,yǒuyì,"hữu nghị, tình bạn",,
双,shuāng,"song, đôi, hai",,
双方,shuāngfāng,song phương,,
双胞胎,shuāngbāotāi,"thai song sinh, sinh đôi",,
反之,fǎnzhī,"trái ngược, làm ngược lại",,
反倒,fǎndào,trái ngược,,
反动,fǎndòng,phản động,,
反复,fǎnfù,lập lại,,
反对,fǎnduì,phản đối,,
反射,fǎnshè,phản xạ,,
反常,fǎncháng,"khác thường, dị thường",,
反应,fǎnyìng,phản ứng,,
反思,fǎnsī,nghĩ lại,,
反感,fǎngǎn,phản cảm,,
反抗,fǎnkàng,phản kháng,,
反映,fǎnyìng,phản ánh,,
反正,fǎnzhèng,dù sao cũng;  thế nào cũng,,
反而,fǎn'ér,"trái ngược, trái lại",,
反问,fǎnwèn,"hỏi lại, phản vấn",,
反面,fǎnmiàn,mặt trái,,
反馈,fǎnkuì,phản hồi,,
反驳,fǎnbó,phản bác,,
发,fā,phát,,
发动,fādòng,phát động,,
发呆,fādāi,"đờ ra, ngẩn người",,
发射,fāshè,"bắn, phóng",,
发展,fāzhǎn,phát triển,,
发布,fābù,"tuyên bố, phát",,
发愁,fāchóu,phát sầu,,
发扬,fāyáng,"phát huy, nêu cao",,
发抖,fādǒu,phát run,,
发挥,fāhuī,phát huy,,
发明,fāmíng,phát minh,,
发火,fāhuǒ,đốt lửa,,
发炎,fāyán,"viêm, sưng",,
发烧,fāshāo,phát sốt,,
发现,fāxiàn,phát hiện,,
发生,fāshēng,phát sinh,,
发票,fāpiào,"phát phiếu, hóa đơn",,
发育,fāyù,"phát dục, dậy thì",,
发脾气,fā píqì,"phát cáu, nóng nảy",,
发行,fāxíng,phát hành,,
发表,fābiǎo,phát biểu,,
发觉,fājué,phát giác,,
发言,fāyán,phát ngôn,,
发誓,fāshì,"thề, xin thề",,
发财,fācái,phát tài,,
发达,fādá,phát đạt,,
叔叔,shūshu,chú,,
取,qǔ,rút,,
取得,qǔdé,"nhận được, đạt được",,
取消,qǔxiāo,"loại bỏ, delete",,
取缔,qǔdì,thủ tiêu,,
受不了,shòu bùliǎo,không chịu được,,
受伤,shòushāng,"thụ thương, bị thương",,
受到,shòudào,nhận được,,
受罪,shòuzuì,"bì giày vò, mang vạ",,
变,biàn,"đổi thay, Biến",,
变化,biànhuà,thay đổi,,
变得,biàn dé,biến thành,,
变成,biàn chéng,biến thành,,
变故,biàngù,biến cố,,
变质,biànzhí,biến chất,,
